#separator:Semicolon
#html:false
#columns:ID;German Word;English Word;Tags
#deck:Motive A2 Wortliste
#tags column:4
#guid column:1

MA2W_0001;Blog, das / der, -s;blog;noun lesson_9
MA2W_0002;bloggen;to blog;verb lesson_9
MA2W_0003;Erfahrung, die, -en;experience;noun lesson_9
MA2W_0004;Kommentar, der, -e;comment;noun lesson_9
MA2W_0005;Kontakt, der, -e;contact;noun lesson_9
MA2W_0006;Netzwerk, das, -e;network;noun lesson_9
MA2W_0007;Postkarte, die, -n;postcard;noun lesson_9
MA2W_0008;pro;per;preposition lesson_9
MA2W_0009;selten;seldom, rarely;adverb lesson_9
MA2W_0010;simsen;to text, to send a text message;verb lesson_9
MA2W_0011;sozial;social;adjective lesson_9
MA2W_0012;soziales Netzwerk, das, -e;social network;noun lesson_9
MA2W_0013;twittern;to tweet;verb lesson_9
MA2W_0014;zurzeit;currently, at the moment;adverb lesson_9
MA2W_0015;benutzen;to use;verb lesson_9
MA2W_0016;Fax(gerät), das, -e;fax (machine);noun lesson_9
MA2W_0017;hören wir doch;let's listen;verb lesson_9
MA2W_0018;Jahreszahl, die, -en;year (number);noun lesson_9
MA2W_0019;möglich;possible;adjective lesson_9
MA2W_0020;Smartphone, das, -s;smartphone;noun lesson_9
MA2W_0021;Anrufer, der, -;caller (male);noun lesson_9
MA2W_0022;Mailbox, die, -en;mailbox, voicemail;noun lesson_9
MA2W_0023;zurückrufen;to call back;verb lesson_9
MA2W_0024;Ausflug, der, :-e;excursion, trip, outing;noun lesson_9
MA2W_0025;Möbelwagen, der, -;removal van, furniture lorry;noun lesson_9
MA2W_0026;Tennisfreundin, die, -nen;tennis friend (female);noun lesson_9
MA2W_0027;Wanderung, die, -en;hike, walking tour;noun lesson_9
MA2W_0028;hinterlassen;to leave behind;verb lesson_9
MA2W_0029;wohl;probably, most likely;adverb lesson_9
MA2W_0030;Rückruf, der, -e;call back;noun lesson_9
MA2W_0031;anfangen;to begin, to start;verb lesson_9
MA2W_0032;auf keinen Fall;no way, absolutely not;adverb lesson_9
MA2W_0033;aufräumen;to tidy up, to clean up;verb lesson_9
MA2W_0034;Bildunterschrift, die, -en;caption;noun lesson_9
MA2W_0035;böse;angry, evil, mad;adjective lesson_9
MA2W_0036;Cybermobbing, das, Sg.;cyberbullying;noun lesson_9
MA2W_0037;diskutieren;to discuss;verb lesson_9
MA2W_0038;Dritte (jeder Dritte), der / die, -n;third party, one in three (every third person);noun lesson_9
MA2W_0039;dumm;stupid, dumb;adjective lesson_9
MA2W_0040;etwas gegen etwas tun;to do something about something;verb lesson_9
MA2W_0041;fast;almost, nearly;adverb lesson_9
MA2W_0042;Filzstift, der, -e;felt-tip pen;noun lesson_9
MA2W_0043;fleißig;hard-working, diligent;adjective lesson_9
MA2W_0044;ganz;whole, entire, very;adjective adverb lesson_9
MA2W_0045;gefährlich;dangerous;adjective lesson_9
MA2W_0046;Generation Internet, die, Sg.;internet generation;noun lesson_9
MA2W_0047;Generation, die, -en;generation;noun lesson_9
MA2W_0048;hässlich;ugly, nasty;adjective lesson_9
MA2W_0049;Jugendliche, der / die, -n;teenager, adolescent, youth;noun lesson_9
MA2W_0050;kariert;checked, plaid;adjective lesson_9
MA2W_0051;Leiter, der, -;leader, manager, director (male);noun lesson_9
MA2W_0052;Leser, der, -;reader (male);noun lesson_9
MA2W_0053;löschen;to delete, to erase;verb lesson_9
MA2W_0054;Mobbing, das, Sg.;bullying;noun lesson_9
MA2W_0055;Muttersöhnchen, das, -;mummy's boy, mollycoddle;noun lesson_9
MA2W_0056;na ja;oh well, well now;interjection lesson_9
MA2W_0057;Netz, das, -e;net, network;noun lesson_9
MA2W_0058;Note, die, -n;grade, mark;noun lesson_9
MA2W_0059;Opfer, das, -;victim;noun lesson_9
MA2W_0060;passieren;to happen, to occur;verb lesson_9
MA2W_0061;Probleme haben mit;to have problems with;verb lesson_9
MA2W_0062;schlechte Späße machen;to play nasty tricks, to make bad jokes;verb lesson_9
MA2W_0063;Schulleiterin, die, -nen;headteacher, principal (female);noun lesson_9
MA2W_0064;Schulprojekt, das, -e;school project;noun lesson_9
MA2W_0065;schwarz-weiß;black and white;adjective lesson_9
MA2W_0066;sondern;but, but rather;conjunction lesson_9
MA2W_0067;Streber, der, -;swot, nerd, goody-goody;noun lesson_9
MA2W_0068;Täter, der, -;perpetrator, offender (male);noun lesson_9
MA2W_0069;entschuldigen;to excuse, to apologize;verb lesson_9
MA2W_0070;abgeben;to hand in, to submit;verb lesson_9
MA2W_0071;Blatt (Papier), das, :-er;sheet (of paper);noun lesson_9
MA2W_0072;erraten;to guess;verb lesson_9
MA2W_0073;Gedächtnistraining, das, -s;memory training;noun lesson_9
MA2W_0074;gerade;just, right now, at the moment;adverb lesson_9
MA2W_0075;gewinnen;to win;verb lesson_9
MA2W_0076;nett;nice, kind;adjective lesson_9
MA2W_0077;typisch;typical;adjective lesson_9
MA2W_0078;unterschreiben;to sign;verb lesson_9
MA2W_0079;wiedersehen;to see again;verb lesson_9
MA2W_0080;annehmen;to accept, to assume;verb lesson_9
MA2W_0081;Bescheid sagen / geben;to let someone know, to inform;verb lesson_9
MA2W_0082;Bescheid, der, -e;information, notification;noun lesson_9
MA2W_0083;feiern;to celebrate, to party;verb lesson_9
MA2W_0084;Gasthof, der, :-e;inn, guesthouse;noun lesson_9
MA2W_0085;heiraten;to marry;verb lesson_9
MA2W_0086;Hochzeit, die, -en;wedding;noun lesson_9
MA2W_0087;Mitarbeiter, der, -;employee, co-worker (male);noun lesson_9
MA2W_0088;Standesamt, das, :-er;registry office;noun lesson_9
MA2W_0089;stattfinden;to take place, to happen;verb lesson_9
MA2W_0090;Verwandtenbesuch, der, -e;visit to relatives;noun lesson_9
MA2W_0091;Hochzeitsreise, die, -n;honeymoon;noun lesson_9
MA2W_0092;hoffen;to hope;verb lesson_9
MA2W_0093;Spielplatz, der, :-e;playground;noun lesson_9
MA2W_0094;absagen;to cancel, to call off;verb lesson_9
MA2W_0095;bestehen;to pass (an exam), to exist;verb lesson_9
MA2W_0096;Führerschein, der, -e [CH] Führerausweis;driving licence;noun lesson_9
MA2W_0097;herzlich;cordial, hearty, sincere;adjective lesson_9
MA2W_0098;Lehrer, der, -;teacher (male);noun lesson_9
MA2W_0099;Prüfung, die, -en;examination, test;noun lesson_9
MA2W_0100;pünktlich;punctual, on time;adjective adverb lesson_9
MA2W_0101;umziehen;to move house;verb lesson_9
MA2W_0102;Umzug, der, :-e;move, relocation;noun lesson_9
MA2W_0103;Vorbereitung, die, -en;preparation;noun lesson_9
MA2W_0104;Wunsch, der, :-e;wish, desire;noun lesson_9
MA2W_0105;wünschen (sich);to wish (for), to desire;verb lesson_9
MA2W_0106;zusagen;to accept, to agree, to promise;verb lesson_9
MA2W_0107;jung;young;adjective lesson_9
MA2W_0108;Kindergarten, der, :-;kindergarten, nursery school;noun lesson_10
MA2W_0109;absolut;absolute, absolutely;adjective adverb lesson_10
MA2W_0110;akzeptieren;to accept;verb lesson_10
MA2W_0111;ändern (sich);to change, to alter (oneself);verb lesson_10
MA2W_0112;Argument, das, -e;argument;noun lesson_10
MA2W_0113;Aussehen, das, Sg.;appearance, looks;noun lesson_10
MA2W_0114;dafür sein;to be in favor of, to be for it;verb lesson_10
MA2W_0115;dagegen sein;to be against it;verb lesson_10
MA2W_0116;damit;with it, with that, so that;adverb conjunction lesson_10
MA2W_0117;dick;thick, fat;adjective lesson_10
MA2W_0118;dünn;thin, slim;adjective lesson_10
MA2W_0119;eher;more likely, rather;adverb lesson_10
MA2W_0120;eine schwere Verletzung;a serious injury;noun lesson_10
MA2W_0121;einig-;united, in agreement (prefix);adjective prefix lesson_10
MA2W_0122;enden;to end;verb lesson_10
MA2W_0123;Figur, die;figure, physique;noun lesson_10
MA2W_0124;für etwas sein;to be in favor of something;verb lesson_10
MA2W_0125;gegen etwas sein;to be against something;verb lesson_10
MA2W_0126;Haarfarbe, die, -n;hair color;noun lesson_10
MA2W_0127;Industrie, die, -n;industry;noun lesson_10
MA2W_0128;jugendlich;youthful, juvenile;adjective lesson_10
MA2W_0129;kämpfen;to fight, to struggle;verb lesson_10
MA2W_0130;korrigieren;to correct;verb lesson_10
MA2W_0131;Kosmetik, die, Sg.;cosmetics;noun lesson_10
MA2W_0132;Kosmetikindustrie, die, -n;cosmetics industry;noun lesson_10
MA2W_0133;Krankenversicherung, die, -en;health insurance;noun lesson_10
MA2W_0134;Medizin (als Fach), die, Sg.;medicine (as a subject);noun lesson_10
MA2W_0135;Medizin, die (Sg.);medicine, medication;noun lesson_10
MA2W_0136;mindestens;at least;adverb lesson_10
MA2W_0137;Modefirma, die, -firmen;fashion company;noun lesson_10
MA2W_0138;Operation, die, -en;operation, surgery;noun lesson_10
MA2W_0139;retten;to save, to rescue;verb lesson_10
MA2W_0140;schlank;slim, slender;adjective lesson_10
MA2W_0141;Schönheit, die, -en;beauty;noun lesson_10
MA2W_0142;Schönheitschirurg, der, -en;cosmetic surgeon, plastic surgeon (male);noun lesson_10
MA2W_0143;Schönheitsinstitut, das, -e;beauty salon;noun lesson_10
MA2W_0144;Schönheitsoperation, die, -en;cosmetic surgery, plastic surgery;noun lesson_10
MA2W_0145;schwer;difficult, heavy, severe;adjective lesson_10
MA2W_0146;selbst;oneself, myself, yourself, himself, herself, itself;pronoun lesson_10
MA2W_0147;sterben;to die;verb lesson_10
MA2W_0148;Supermodel, das, -s;supermodel;noun lesson_10
MA2W_0149;Unfall, der, :-e;accident;noun lesson_10
MA2W_0150;ungefährlich;harmless, not dangerous;adjective lesson_10
MA2W_0151;unglücklich;unhappy, unfortunate;adjective lesson_10
MA2W_0152;unzufrieden;dissatisfied, discontented;adjective lesson_10
MA2W_0153;Verletzung, die, -en;injury;noun lesson_10
MA2W_0154;Versicherung, die, -en;insurance;noun lesson_10
MA2W_0155;versprechen;to promise;verb lesson_10
MA2W_0156;Wunschaussehen, das, Sg.;desired appearance;noun lesson_10
MA2W_0157;zählen;to count;verb lesson_10
MA2W_0158;zum Glück;fortunately, luckily;adverb lesson_10
MA2W_0159;Anzug, der, :-e;suit;noun lesson_10
MA2W_0160;behalten;to keep, to retain;verb lesson_10
MA2W_0161;Bluse, die, -n;blouse;noun lesson_10
MA2W_0162;dunkel;dark;adjective lesson_10
MA2W_0163;eng;tight, narrow;adjective lesson_10
MA2W_0164;Handschuh, der, -e;glove;noun lesson_10
MA2W_0165;Handtasche, die, -n;handbag, purse;noun lesson_10
MA2W_0166;hell;light, bright;adjective lesson_10
MA2W_0167;in (Gegenteil out);in (opposite of out), fashionable;preposition lesson_10
MA2W_0168;Kappe, die, -n;cap;noun lesson_10
MA2W_0169;Kleidungsstück, das, -e;item of clothing, piece of clothing;noun lesson_10
MA2W_0170;out;out, unfashionable;adjective lesson_10
MA2W_0171;praktisch;practical, useful;adjective lesson_10
MA2W_0172;Rock, der, :-e [CH] Jupe, der, -s;skirt;noun lesson_10
MA2W_0173;Saison, die, -s;season;noun lesson_10
MA2W_0174;so … wie;as … as;conjunction lesson_10
MA2W_0175;Socke, die, -n;sock;noun lesson_10
MA2W_0176;Stiefel, der, -;boot;noun lesson_10
MA2W_0177;Vorjahr, das, -e;previous year;noun lesson_10
MA2W_0178;Zeile, die, -n;line, row;noun lesson_10
MA2W_0179;Angst haben;to be afraid, to be scared;verb lesson_10
MA2W_0180;Angst, die, :-e;fear, anxiety;noun lesson_10
MA2W_0181;ausräumen;to clear out, to empty;verb lesson_10
MA2W_0182;eilig;urgent, hurried;adjective adverb lesson_10
MA2W_0183;geben;to give;verb lesson_10
MA2W_0184;leise;quiet, soft, quietly;adjective adverb lesson_10
MA2W_0185;mit Milch und Zucker;with milk and sugar;preposition lesson_10
MA2W_0186;Spülmaschine, die, -n;dishwasher;noun lesson_10
MA2W_0187;zumachen;to close;verb lesson_10
MA2W_0188;Größe, die, -n;size;noun lesson_10
MA2W_0189;probieren (Kleidung);to try on (clothes);verb lesson_10
MA2W_0190;versuchen;to try, to attempt;verb lesson_10
MA2W_0191;egal;no matter, all the same, doesn't matter;adjective adverb lesson_10
MA2W_0192;froh;happy, glad;adjective lesson_10
MA2W_0193;aktiv;active;adjective lesson_10
MA2W_0194;attraktiv;attractive;adjective lesson_10
MA2W_0195;Eindruck, der, :-e;impression;noun lesson_10
MA2W_0196;energisch;energetic;adjective lesson_10
MA2W_0197;faul;lazy;adjective lesson_10
MA2W_0198;Gesprächsthema, das, -themen;topic of conversation;noun lesson_10
MA2W_0199;hübsch;pretty, handsome;adjective lesson_10
MA2W_0200;intelligent;intelligent;adjective lesson_10
MA2W_0201;komisch;funny, strange, odd;adjective lesson_10
MA2W_0202;optimistisch;optimistic;adjective lesson_10
MA2W_0203;pessimistisch;pessimistic;adjective lesson_10
MA2W_0204;sportlich;sporty, athletic;adjective lesson_10
MA2W_0205;Stimme, die, -n;voice;noun lesson_10
MA2W_0206;sympathisch;likeable, pleasant, congenial;adjective lesson_10
MA2W_0207;unwichtig;unimportant;adjective lesson_10
MA2W_0208;Verkehrsmittel, das, -;means of transport, mode of transport;noun lesson_10
MA2W_0209;Zeitschrift, die, -en;magazine, journal;noun lesson_10
MA2W_0210;am besten;best;adverb lesson_10
MA2W_0211;Autofahrer, der, -;driver (male);noun lesson_10
MA2W_0212;Chatroom, der, -s;chat room;noun lesson_10
MA2W_0213;die Geschäfte gehen schlecht;business is bad;verb lesson_10
MA2W_0214;gemütlich;comfortable, cozy;adjective lesson_10
MA2W_0215;gleich (sofort);immediately, right away;adverb lesson_10
MA2W_0216;Luft, die;air;noun lesson_10
MA2W_0217;Meinung, die, -en;opinion, view;noun lesson_10
MA2W_0218;nerven;to annoy, to irritate, to get on someone's nerves;verb lesson_10
MA2W_0219;Radfahrer, der, -;cyclist (male);noun lesson_10
MA2W_0220;rauchfrei;smoke-free, non-smoking;adjective lesson_10
MA2W_0221;Rauchverbot, das, -e;smoking ban, no smoking;noun lesson_10
MA2W_0222;sicher;safe, secure, certain, surely;adjective adverb lesson_10
MA2W_0223;Tipp, der, -s;tip, hint, suggestion;noun lesson_10
MA2W_0224;Umwelt, die, -en;environment;noun lesson_10
MA2W_0225;Verkehr, der, Sg.;traffic;noun lesson_10
MA2W_0226;Einkaufszentrum, das, -zentren;shopping center, shopping mall;noun lesson_11
MA2W_0227;Naturmensch, der, -en;nature lover, outdoorsy person;noun lesson_11
MA2W_0228;spazieren gehen;to go for a walk;verb lesson_11
MA2W_0229;Städtereisen, Pl.;city breaks, city trips;noun lesson_11
MA2W_0230;Stadtmensch, der, -en;city person, city dweller;noun lesson_11
MA2W_0231;Affe, der, -n;monkey, ape;noun lesson_11
MA2W_0232;ausziehen;to take off (clothes), to move out;verb lesson_11
MA2W_0233;beliebt;popular, well-liked;adjective lesson_11
MA2W_0234;Chefin spielen;to play the boss;verb lesson_11
MA2W_0235;Chefin, die, -nen;boss, chief (female);noun lesson_11
MA2W_0236;Delfin, der, -e;dolphin;noun lesson_11
MA2W_0237;einziehen;to move in;verb lesson_11
MA2W_0238;Elefant , der, -en;elephant;noun lesson_11
MA2W_0239;Fernsehserie, die, -n;TV series;noun lesson_11
MA2W_0240;Frühlingsgefühl, das, -e;feeling of spring;noun lesson_11
MA2W_0241;handeln;to act, to deal, to trade;verb lesson_11
MA2W_0242;höflich;polite, courteous;adjective lesson_11
MA2W_0243;Instrument, das, -e;instrument;noun lesson_11
MA2W_0244;manch-;some, many a (prefix);pronoun prefix lesson_11
MA2W_0245;Pinguin, der, -e;penguin;noun lesson_11
MA2W_0246;Robbe, die, -n;seal;noun lesson_11
MA2W_0247;Ruhe haben (seine);to have peace and quiet, to be left alone;verb lesson_11
MA2W_0248;Ruhe, die, Sg.;peace, quiet, silence;noun lesson_11
MA2W_0249;Sendung, die, -en;program, broadcast, show;noun lesson_11
MA2W_0250;Serie, die, -n;series;noun lesson_11
